value
Industriegewerkschaft Metall
IG Metall
Industriegewerkschaft Bergbau, Chemie, Energie
Gewerkschaft Erziehung und Wissenschaft
Vereinte Dienstleistungsgewerkschaft
Industriegewerkschaft Bauen, Agrar, Umwelt
IG BAU
Gewerkschaft Nahrung, Genuss, Gaststätten
Eisenbahn- und Verkehrsgewerkschaft
Gewerkschaft der Polizei
beamtenbund und tarifunion
Berufsverband Bayerischer Hygieneinspektoren
Deutsche Zoll- und Finanzgewerkschaft
Bund der Strafvollzugsbediensteten Deutschlands
Gewerkschaft Mess- und Eichwesen
Gewerkschaft Technik und Naturwissenschaft
Bund Deutscher Forstleute
Bund Deutscher Rechtspfleger
Bundesverband der Lehrkräfte für Berufsbildung
Deutscher Amtsanwaltsverein
Deutsche Justiz-Gewerkschaft
Deutscher Gerichtsvollzieherbund
Deutscher Philologenverband
Deutsche Polizeigewerkschaft
Deutsche Steuer-Gewerkschaft
Deutsche Verwaltungs-Gewerkschaft
Deutscher Berufsverband für Soziale Arbeit
Fachverband der Bediensteten der Landwirtschaftskammer NRW
Fachverband Gesundheitswesen Baden-Württemberg
Fachverband Wasserstraßen- und Schifffahrtsverwaltung
Gewerkschaft Deutscher Lokomotivführer
Gewerkschaft für das Gesundheitswesen
Gewerkschaft der Sozialversicherung
Gewerkschaft der Sozialverwaltung
Katholische Erziehergemeinschaft Deutschlands
komba gewerkschaft
Kommunikationsgewerkschaft DPV
Kommunikationsgewerkschaft
Gewerkschaft für das Gesundheitswesen in Bayern
Gewerkschaft Arbeit und Soziales
Bundesbankgewerkschaft
Berufsverband Agrar, Ernährung, Umwelt
Fachgewerkschaft der Straßen- und Verkehrsbeschäftigten
Verband Bildung und Erziehung
Verband der Arbeitnehmer der Bundeswehr
Verband der Beamten und Beschäftigten der Bundeswehr
Gewerkschaft Bundesbeschäftigte
Verband der Beschäftigten des Gewerblichen Rechtsschutzes
Verband Deutscher Realschullehrer
Vereinigung Cockpit
Verband Hochschule und Wissenschaft
Verein der Rechtspfleger im Bundesdienst
Die Mediengewerkschaft
Christlicher Gewerkschaftsbund
